premises,hypothesis,labels,Lexical Semantics,Logic,Domain, Lexical Semantics,Type,Knowledge,Predicate-Argument Structure,Key Elements,Premise Polarity,Hypothesis Certainty,Verb Category,Inference derivation,Common-Sense Type 1,Common-Sense Type 2
Nobody sings better than Freddie Mercury. ,Everybody sings worse than Freddie Mercury. ,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
Nobody sings better than Freddie Mercury. ,Nobody sings better than Freddie Mercury. ,neutral,Quantifier,Negation,Artificial,,,,,,,,,,,
"When it comes to making friends, nobody does it better than she does.","When it comes to making friends, she is the best.",entailment,Quantifier,Negation,Web,,,,,,,,,,,
"When it comes to making friends, nobody does it better than she does.","When it comes to making friends, all people do it better than she does",contradiction,Quantifier,Negation,Web,,,,,,,,,,,
There's no one I trust but John. ,John is the only one I trust. ,entailment,Quantifier,Contrastive Negation,Artificial ,,,,,,,,,,,
John is the only one I trust. ,I don't trust anyone but John. ,entailment,Quantifier,Contrastive Negation,Artificial,,,,,,,,,,,
There's no one I trust but John. ,I trust no one. ,contradiction,Quantifier,Contrastive Negation,Artificial ,,,,,,,,,,,
There's no one I trust but John. ,I don't trust anyone.,contradiction,Quantifier,Contrastive Negation,Artificial ,,,,,,,,,,,
John is the only one I trust. ,I trust anyone but John. ,contradiction,Quantifier,Contrastive Negation,Artificial,,,,,,,,,,,
Nobody can say that I ever committed a wrong act in my life.,It can’t be said that I ever committed a wrong act in my life.,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
Nobody can say that I ever committed a wrong act in my life.,It can be said that I never committed a wrong act in my life.,entailment,Quantifier,Negation,Web,,,,,,,,,,,
Nobody can say that I never committed a wrong act in my life.,Nobody can say that I ever committed a wrong act in my life.,contradiction,Quantifier,Negation,Web,,,,,,,,,,,
No one is ever too old to learn something new.,There is always something new to learn. ,entailment,Quantifier,Negation,Web,,,,,,,,,,,
No one is ever too old to learn something new.,We all have something new to learn. ,entailment,Quantifier,Negation,Web,,,,,,,,,,,
No one is ever too old to learn something new.,No one is ever too old to learn a new language.,entailment,Quantifier,Negation,Web,,,,,,,,,,,
None of the other apples is as good as the Honeycrisp.,"Among all the apples, Honeycrisp is the best.",entailment,Quantifier,Negation,Web,,,,,,,,,,,
None of the other apples is as good as the Honeycrisp.,All apples are better than Honeycrisp.  ,contradiction,Quantifier,Negation,Web,,,,,,,,,,,
None of the guests has any idea what to bring to the party.,All guests don't know what to bring to the party. ,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
None of the guests has any idea what to bring to the party.,Every guest knows what to bring to the party. ,contradiction,Quantifier,Negation,Artificial ,,,,,,,,,,,
None of her guests enjoyed the dinner.,She enjoyed the dinner.,neutral,Quantifier,Negation,Artificial ,,,,,,,,,,,
None of her guests enjoyed the dinner.,"She enjoyed the dinner, unlike her guests. ",neutral,Quantifier,Negation,Artificial ,,,,,,,,,,,
No one was at home except the babysitter. ,The babysitter was the only one at home. ,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
No one was at home except the babysitter. ,The house was empty. ,contradiction,Quantifier,Negation,Artificial ,,,,,,,,,,,
None can criticize my lifestyle.,A person can criticize my lifestyle. ,contradiction,Quantifier,Negation,Artificial ,,,,,,,,,,,
None can criticize my lifestyle.,All people can't criticize my lifestyle. ,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
None can criticize my lifestyle.,I'm the only one who can criticize my lifestyle. ,neutral,Quantifier,Negation,Artificial,,,,,,,,,,,
Mike knows he's going nowhere. ,Mike knows he’s going to London. ,contradiction,Quantifier,Negation ,Artificial ,,,,,,,,,,,
Mike knows he's going nowhere but London. ,Mike knows he’s going to London. ,entailment,Quantifier,Contrastive Negation,Artificial ,,,,,,,,,,,
Mike knows he's going nowhere but London. ,Mike knows he's not going to London. ,contradiction,Quantifier,Contrastive Negation,Artificial ,,,,,,,,,,,
I need help but I've got nowhere to turn. ,There’s no one to ask for help. ,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
I need help but I've got nowhere to turn. ,I know who to turn to. ,contradiction,Quantifier,Negation,Artificial ,,,,,,,,,,,
These theories are different and not both valid.,Only one theory is valid. ,neutral,Quantifier,Contrastive Negation,Artificial ,,,,,,,,,,,
"Different philosophies, not both valid.",Both philosophies are valid even if they are different. ,contradiction,Quantifier,Contrastive Negation,Artificial ,,,,,,,,,,,
"You can host either Mary or John, not both. ",You can host only one between Mary and John. ,entailment,Quantifier,Contrastive Negation,Artificial,,,,,,,,,,,
"You can host either Mary or John, not both. ",You can host both Mary and John. ,contradiction,Quantifier,Contrastive Negation,Artificial,,,,,,,,,,,
"Since we're both not studying, we could get a drink. ","Since none of us is studying, we could get a drink. ",entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
"Since we're both not studying, we could get a drink. ","Since we're both not doing anything, we could get a drink. ",neutral,Quantifier,Negation,Artificial ,,,,,,,,,,,
"Since we're both not studying, we could get a drink. ",Only one of us is studying. ,contradiction,Quantifier,Negation,Artificial ,,,,,,,,,,,
We're kind of both not liking this color. ,Neither of us likes this color. ,entailment,Quantifier,Negation,Web ,,,,,,,,,,,
We're kind of both not liking this color. ,Both of us like this color. ,contradiction,Quantifier,Negation,Web,,,,,,,,,,,
Lizzy and Mark stay at home because they're both not feeling well tonight.,Both Lizzy and Mark stay at home because they are not feeling well. ,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
Lizzy and Mark stay at home because they're both not feeling well tonight.,Both Lizzy and Mark stay at home because are sick. ,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
Anxiety is nothing more than a chemical reaction.,Anxiety is nothing.,contradiction,Quantifier,Negation,Web,,,,,,,,,,,
Anxiety is nothing more than a chemical reaction.,Anxiety is more than a chemical reaction. ,contradiction,Quantifier,Negation,Web,,,,,,,,,,,
Anxiety is nothing more than a chemical reaction.,Anxiety is a chemical reaction.,entailment,Quantifier,Negation,Web,,,,,,,,,,,
The person who can fix your shoe is no one besides the shoemaker. ,The shoemaker can fix your shoe. ,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
The person who can fix your shoe is none other than the shoemaker. ,No one can fix your shoe. ,contradiction,Quantifier,Negation,Artificial ,,,,,,,,,,,
The person who can fix your shoe is none other than the shoemaker. ,No one can fix your shoe but the shoemaker. ,entailment,Quantifier,Contrastive Negation,Artificial ,,,,,,,,,,,
One of the wedding guests is none other than Emma Watson. ,Emma Watson is a guest at the wedding.,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
One of the wedding guests is none other than Emma Watson. ,Emma Watson is not a guest at the wedding.,contradiction,Quantifier,Negation,Artificial ,,,,,,,,,,,
We will accept nothing less than full victory.,We will accept only full victory. ,entailment,Quantifier,Negation,Web,,,,,,,,,,,
We will accept nothing less than full victory.,We will accept nothing. ,contradiction,Quantifier,Negation,Web,,,,,,,,,,,
There's nothing I can cook.,I don't have anything to cook. ,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
There's nothing I can cook.,I can cook anything. ,contradiction,Quantifier,Negation,Artificial,,,,,,,,,,,
There’s nothing I can’t cook.,I can cook anything. ,entailment,Quantifier,Negation,Artificial,,,,,,,,,,,
There’s nothing I can’t cook.,I can't cook anything. ,contradiction,Quantifier,Negation,Artificial,,,,,,,,,,,
There's nothing that can't be fixed. ,Everything can be fixed. ,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
There's nothing that can't be fixed. ,Nothing can be fixed. ,contradiction,Quantifier,Negation,Artificial ,,,,,,,,,,,
She knows nothing about linguistics. ,She's not a linguist. ,entailment,Quantifier,Negation,Artificial,,,,,,,,,,,
She knows nothing about linguistics. ,She is unqualified in linguistics. ,entailment,Quantifier,Negation,Artificial,,,,,,,,,,,
She knows nothing about linguistics. ,She is a linguist.,contradiction,Quantifier,Negation,Artificial,,,,,,,,,,,
Neighbors said there was nothing remarkable about the quiet young man. ,According to neighbors there was no remarkable thing about the quiet young man. ,entailment,Quantifier,Negation,Web,,,,,,,,,,,
Neighbors said there was nothing remarkable about the quiet young man. ,According to neighbors there was some remarkable things about the quiet young man. ,contradiction,Quantifier,Negation,Web,,,,,,,,,,,
Mrs Wilson wants nothing to do with her ex-husband. ,Mrs Wilson doesn't want anything to do with her husband. ,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
Mrs Wilson doesn't want anything to do with her husband. ,Mrs Wilson wants nothing to do with her ex-husband. ,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
They point their fingers at mutual enemies but not at each other. ,They don’t point at each other. ,entailment,Quantifier,Contrastive Negation,Web,,,,,,,,,,,
They point their fingers at mutual enemies but not each other. ,They don’t point their fingers each other but at mutual enemies.  ,entailment,Quantifier,Contrastive Negation,Web,,,,,,,,,,,
They point their fingers at mutual enemies but not each other. ,They don’t point their fingers at mutual enemies but each other. ,contradiction,Quantifier,Contrastive Negation,Web,,,,,,,,,,,
They point their fingers at mutual enemies but not each other. ,They accuse each other. ,contradiction,Quantifier,Contrastive Negation,Web,,,,,,,,,,,
Some of them had their share. ,Not each of them had their share. ,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
Some of them had their share. ,Each of them did not have their share. ,contradiction,Quantifier,Negation,Artificial ,,,,,,,,,,,
Some of them hadn't their share. ,Each of them hadn't their share. ,contradiction,Quantifier,Negation,Artificial ,,,,,,,,,,,
Some of them hadn't their share. ,Each of them had their share. ,contradiction,Quantifier,Negation,Artificial ,,,,,,,,,,,
Jane’s kids don't eat any vegetables. ,Jane's kids eat some vegetables. ,contradiction,Quantifier,Negation,Artificial ,,,,,,,,,,,
Jane's kids don't eat some vegetables. ,Jane's kids eat any vegetables. ,contradiction,Quantifier,Negation,Artificial,,,,,,,,,,,
Each student has not done well.,Some students has done well. ,contradiction,Quantifier,Negation,Artificial ,,,,,,,,,,,
Not each of students has done well. ,Some students has done well. ,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
Not each of students has done well. ,Some students has not done well. ,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
Each of the students has not done well.,Not each of the students has not done well. ,contradiction,Quantifier,Negation,Artificial ,,,,,,,,,,,
Each of the students has not done well.,Not each of the students has done well. ,contradiction,Quantifier,Negation,Artificial ,,,,,,,,,,,
Each of the students has not done well.,Not each of the students has done wrong. ,contradiction,Quantifier,Negation,Artificial ,,,,,,,,,,,
Not many dogs have been abandoned. ,Few dogs have been abandoned.,entailment,Quantifier,Negation,Artificial ,,,,,,,,,,,
Not many dogs have been abandoned. ,Many dogs have been abandoned. ,contradiction,Quantifier,Negation,Artificial ,,,,,,,,,,,
The hospital could use a hundred if not several hundred doctors.,The hospital could use hundreds of doctors. ,entailment,Quantifier,Negation,Web,,,,,,,,,,,
The hospital could use a hundred if not several hundred doctors.,The hospital couldn't use hundreds of doctors. ,contradiction,Quantifier,Negation,Web,,,,,,,,,,,
This situation causes me not a little embarrassment. ,This situation causes me so much embarrassment. ,entailment,Quantifier,Negation ,Artificial ,,,,,,,,,,,
This situation causes me not a little embarrassment. ,I'm not embarrassed by this situation. ,contradiction,Quantifier,Negation,Artificial,,,,,,,,,,,
Antony neither reads newspapers nor watches the news. ,Antony doesn't read a newspaper. ,entailment,Double markers,Negation,Artificial,,,,,,,,,,,
Antony neither reads a newspaper nor watches the news. ,Antony doesn't watches the news. ,entailment,Double markers,Negation,Artificial,,,,,,,,,,,
Antony neither reads a newspaper nor watches the news. ,Antony watches the news. ,contradiction,Double markers,Negation,Artificial,,,,,,,,,,,
Antony neither reads a newspaper nor watches the news. ,Antony reads a newspaper. ,contradiction,Double markers,Negation,Artificial,,,,,,,,,,,
Neither the mother nor the father knew of their son's bad grades. ,Both mother and father didn’t know their son’s bad grades. ,entailment,Double markers,Negation,Artificial,,,,,,,,,,,
Neither mother nor father knew of their son's bad grades. ,The father knew his son's bad grades. ,contradiction,Double markers,Negation,Artificial,,,,,,,,,,,
Neither mother nor father knew of their son's bad grades. ,The mother didn't know about her son's bad grades and the father didn't either. ,entailment,Double markers,Negation,Artificial,,,,,,,,,,,
The apartment was neither big nor sunny. ,The apartment wasn't big or sunny. ,entailment,Double markers,Negation,Artificial,,,,,,,,,,,
The apartment was neither big nor sunny. ,The apartment was big. ,contradiction,Double markers,Negation,Artificial,,,,,,,,,,,
The apartment was neither big nor sunny. ,The apartment was small. ,entailment,Double markers,Negation,Artificial,,,,,,,,,,,
"Vicky ate pizza, not pasta. ",Vicky didn't eat pasta. ,entailment,,Contrastive Negation,Artificial,,,,,,,,,,,
Vicky didn't eat pasta but pizza. ,"Vicky ate pizza, not pasta. ",entailment,,Contrastive Negation,Artificial,,,,,,,,,,,
Vicky didn't eat pasta but pizza. ,Vicky didn't eat pasta but pizza. ,entailment,,Contrastive Negation,Artificial,,,,,,,,,,,
"Vicky ate pizza, not pasta. ",Vicky ate pasta. ,contradiction,,Contrastive Negation,Artificial,,,,,,,,,,,
Vicky didn't eat pasta but pizza. ,Vicky didn't eat pizza but pasta. ,contradiction,,Contrastive Negation,Artificial,,,,,,,,,,,
"Vicky didn’t eat pasta, she ate pizza. ","Vicky ate pizza, she didn't eat pasta. ",entailment,,Contrastive Negation,Artificial,,,,,,,,,,,
"Vicky ate pizza, she didn't eat pasta. ",Vicky didn't eat pizza but pasta. ,contradiction,,Contrastive Negation,Artificial,,,,,,,,,,,
He has nothing but nice things to say about Margaret. ,He has only nice things to say about Margaret. ,entailment,,Contrastive Negation,Artificial ,,,,,,,,,,,
He has nothing but nice things to say about Margaret. ,He has nothing to say about Margaret. ,contradiction,,Contrastive Negation,Artificial ,,,,,,,,,,,
He has nothing but nice things to say about Margaret. ,He speaks unkindly about Margaret. ,contradiction,,Contrastive Negation,Artificial ,,,,,,,,,,,
The Jordanian countryside is nothing but empty land. ,The Jordanian countryside is only empty land.,entailment,,Contrastive Negation,Artificial,,,,,,,,,,,
The Jordanian countryside is nothing but empty land. ,The Jordanian countryside is anything but empty land. ,contradiction,,Contrastive Negation,Artificial,,,,,,,,,,,
We went not only to New York but also to Los Angeles. ,We went to both New York and Los Angeles. ,entailment,,Contrastive Negation,Artificial ,,,,,,,,,,,
We went not only to New York but also to Los Angeles. ,We didn't go to New York. ,contradiction,,Contrastive Negation,Artificial ,,,,,,,,,,,
We went not only to New York but also to Los Angeles. ,We didn't go to New York or Los Angeles. ,contradiction,,Contrastive Negation,Artificial,,,,,,,,,,,
He walks his dog not once but twice per day. ,He walks his dog twice per day. ,entailment,,Contrastive Negation,Artificial ,,,,,,,,,,,
He walks his dog not once but twice per day. ,He walks his dog once per day. ,contradiction,,Contrastive Negation,Artificial ,,,,,,,,,,,
There's an economic crisis not only in Italy but all over the world.,There's an economic crisis all over the world but not in Italy. ,contradiction,,Contrastive Negation ,Artificial ,,,,,,,,,,,
There's an economic crisis not only in Italy but all over the world. ,"There's an economic crisis all over the world, including in Italy. ",entailment,,Contrastive Negation ,Artificial ,,,,,,,,,,,
"Astrid doesn't have three cats, she has four. ",Astrid has four cats. ,entailment,,Contrastive Negation ,Artificial ,,,,,,,,,,,
"Astrid doesn't have three cats, she has four. ",Astrid doesn't have cats.  ,contradiction,,Contrastive Negation ,Artificial ,,,,,,,,,,,
"Tony's jacket is turquoise, not blue. ",Tony's jacket is blue. ,contradiction,,Contrastive Negation ,Artificial ,,,,,,,,,,,
"Tony's jacket is turquoise, not blue",Tony's jacket is turquoise. ,entailment,,Contrastive Negation,Artificial ,,,,,,,,,,,
"Lizzy has no shoes on, only tights. ",Lizzy is barefoot. ,entailment,,Contrastive Negation,Artificial ,,,,,,,,,,,
"Lizzy has no shoes on, only tights. ",Lizzy has tights on. ,entailment,,Contrastive Negation,Artificial,,,,,,,,,,,
"Lizzy has no shoes on, only tights. ",Lizzy has shoes on. ,contradiction,,Contrastive Negation,Artificial,,,,,,,,,,,
She always goes on foot rather than driving. ,She always drives. ,contradiction,,Contrastive Negation,Artificial,,,,,,,,,,,
She always goes on foot rather than drives. ,She never drives. ,entailment,,Contrastive Negation,Artificial,,,,,,,,,,,
She always goes on foot rather than drives.  ,"She never drives, but she always goes on foot. ",entailment,,Contrastive Negation,Artificial,,,,,,,,,,,
"She never drives, but she always goes on foot. ",She never goes on foot. ,contradiction,,Contrastive Negation,Artificial,,,,,,,,,,,
"There's no one in the park, just animals. ",There are animals in the park. ,entailment,,Contrastive Negation,Artificial,,,,,,,,,,,
"There's no one here, just animals. ",There are no animals. ,contradiction,,Contrastive Negation,Artificial,,,,,,,,,,,
"The problem is not the work, but the report. ",The problem is the report. ,entailment,,Contrastive Negation,Artificial,,,,,,,,,,,
"The problem is not the work, which is correct, but the report. ",The problem is the work. ,contradiction,,Contrastive Negation,Artificial,,,,,,,,,,,
Julia’s couch is not blu. ,Julia has a couch. ,entailment,,Negation,Artificial,,,,,,,,,,,
Julia’s couch is not blu. ,Julia doesn't have a couch. ,contradiction,,Negation,Artificial,,,,,,,,,,,
Claire says Julia's couch isn't blue. ,Julia has a couch. ,entailment,,Negation,Artificial,,,,,,,,,,,
Claire says Julia's couch isn't blue. ,Julia doesn't have a couch. ,contradiction,,Negation,Artificial,,,,,,,,,,,
John has a Ferrari that is not red. ,John has a Ferrari. ,entailment,,Negation,Artificial,,,,,,,,,,,
John has a Ferrari that's not red. ,John does not have a Ferrari. ,contradiction,,Negation,Artificial,,,,,,,,,,,
Edith has decided not to buy a new car. ,Edith has decided to buy a new car. ,contradiction,,Negation,Artificial,,,,,,,,,,,
Edith has decided not to buy a new car. ,Edith has not decided whether to buy a new car yet. ,contradiction,,Negation,Artificial,,,,,,,,,,,
Edith has decided not to buy a new car. ,Edith won't buy a new car. ,entailment,,Negation,Artificial,,,,,,,,,,,
They never go shopping on Sundays.  ,They don't go shopping on Sundays. ,entailment,,Negation,Artificial,,,,,,,,,,,
They never go shopping on Sundays.  ,They go shopping on Sundays. ,contradiction,,Negation,Artificial,,,,,,,,,,,
They never go shopping on Sundays. ,They go shopping during the week. ,neutral,,Negation,Artificial,,,,,,,,,,,
I never did anything more than try to take beautiful pictures. ,All I have ever done is try to take beautiful pictures.,entailment,,Negation,Artificial ,,,,,,,,,,,
I never did anything more than try to take beautiful pictures. ,I have never tried to take beautiful pictures. ,contradiction,,Negation,Artificial ,,,,,,,,,,,
Cristiano didn't kick the ball with enough force. ,Cristiano kicked the ball. ,entailment,,Negation,Artificial ,,,,,,,,,,,
Cristiano didn't kick the ball with enough force. ,Cristiano kicked the ball with not enough force. ,entailment,,Negation,Artificial ,,,,,,,,,,,
Cristiano didn't kick the ball with enough force. ,The ball was not kicked by Cristiano.,contradiction,,Negation,Artificial ,,,,,,,,,,,
The horse ran not so fast. ,The horse didn't run so fast. ,entailment,,Negation,Artificial,,,,,,,,,,,
The horse didn't run so fast. ,The horse didn't run. ,contradiction,,Negation,Artificial,,,,,,,,,,,
The horse ran not so fast. ,The horse ran slowly. ,neutral,,Negation,Artificial,,,,,,,,,,,
Will didn't read the book very carefully. ,Will didn't read the book. ,contradiction,,Negation,Artificial,,,,,,,,,,,
Will didn't read the book very carefully. ,Will read the book without much attention. ,entailment,,Negation,Artificial,,,,,,,,,,,
Will didn't read the book very carefully. ,Will never reads very carefully. ,neutral,,Negation,Artificial,,,,,,,,,,,
"Although he won the lottery, Trey wasn't very excited. ",Trey didn't win the lottery. ,contradiction,,Negation,Artificial,,,,,,,,,,,
"Although he won the lottery, Trey wasn't very excited. ",Trey was excited about winning the lottery. ,contradiction,,Negation,Artificial,,,,,,,,,,,
"Although he won the lottery, Trey wasn't very excited. ",Trey won the lottery. ,entailment,,Negation,Artificial,,,,,,,,,,,
The train didn’t arrive late as usual. ,The train arrived on time. ,entailment,,Negation,Artificial,,,,,,,,,,,
The train didn’t arrive late as usual. ,The train never arrived. ,contradiction,,Negation,Artificial,,,,,,,,,,,
The President didn't use a proper language. ,The President didn't tell anything. ,contradiction,,Negation,Artificial,,,,,,,,,,,
The President didn't use a proper language. ,The President used an inappropriate language. ,entailment,,Negation,Artificial,,,,,,,,,,,
Mark is simply too arrogant to listen to anyone except himself. ,Mark listens only to himself. ,entailment,,Negation,Artificial ,,,,,,,,,,,
Mark is simply too arrogant to listen to anyone except himself. ,Mark doesn't listen to anyone. ,entailment,,Negation,Artificial ,,,,,,,,,,,
We didn’t discuss our choice with anyone. ,We discuss our choice with John. ,contradiction,,Negation,Artificial ,,,,,,,,,,,
We didn't discuss our choice with anyone. ,We didn't discuss our choice with John. ,entailment,,Negation,Artificial ,,,,,,,,,,,
Laura was the most diligent employee we ever had.  ,We never had employees as diligent as Laura. ,entailment,,Negation,Artificial,,,,,,,,,,,
"Laura was exceptionally diligent, the best employee we ever had.  ",We already had employees as diligent as Laura. ,contradiction,,Negation,Artificial,,,,,,,,,,,
This is the first skyscraper they have ever seen. ,They have never seen a skyscraper before. ,entailment,,Negation,Artificial,,,,,,,,,,,
This is the first skyscraper they have ever seen.,They have already seen a skyscraper before. ,contradiction,,Negation,Artificial,,,,,,,,,,,
I don't smoke cigarettes any more. ,I used to smoke cigarettes.,entailment,,Negation,Artificial ,,,,,,,,,,,
I don't smoke cigarettes any more. ,I didn't smoke cigarettes. ,contradiction,,Negation,Artificial ,,,,,,,,,,,
"He doesn't run anymore, but he used to run twice a week. ",He didn't use to run twice a week. ,contradiction,,Negation,Artificial,,,,,,,,,,,
"He doesn't run anymore, but he used to run twice a week. ",He runs twice a week. ,contradiction,,Negation,Artificial,,,,,,,,,,,
"He doesn't run anymore, but he used to run twice a week. ","Although he used to run twice a week, he no longer does so.  ",entailment,,Negation,Artificial,,,,,,,,,,,
The old T-shirts don’t fit me any longer. ,The old T-shirts fitted me. ,entailment,,Negation,Artificial ,,,,,,,,,,,
The old T-shirts don’t fit me any longer. ,The old T-shirts never fitted me. ,contradiction,,Negation,Artificial,,,,,,,,,,,
I won't wait any longer for his answer.,He hasn't answered me yet.,entailment,,Negation,Artificial ,,,,,,,,,,,
I won't wait any longer for his answer.,He has already answered me. ,contradiction,,Negation,Artificial,,,,,,,,,,,
The house hasn't been bought. ,Nobody has bought the house. ,entailment,,Negation,Artificial ,,,,,,,,,,,
The house hasn't been bought yet. ,The house is still for sale. ,entailment,,Negation,Artificial ,,,,,,,,,,,
The house hasn't been bought yet. ,Someone has bought the house. ,contradiction, ,Negation,Artificial ,,,,,,,,,,,
The house hasn't been bought yet. ,Someone will buy the house.,neutral,,Negation,Artificial ,,,,,,,,,,,
